и;и;normal;и;и;-1
в;в;normal;в;в;0
не;не;normal;не;не;1
он;он;normal;он;он;2
он;он;form;он;он;2
его;его́;form;он;он;2
,&#160;;,&#160;;form;он;он;2
него;него́;form;он;он;2
ему;ему́;form;он;он;2
,&#160;;,&#160;;form;он;он;2
нему;нему́;form;он;он;2
его;его́;form;он;он;2
,&#160;;,&#160;;form;он;он;2
него;него́;form;он;он;2
им;им;form;он;он;2
,&#160;;,&#160;;form;он;он;2
ним;ним;form;он;он;2
нём;нём;form;он;он;2
нем;нём;normal;он;он;2
на;на;normal;на;на;3
я;я;normal;я;я;4
что;что;normal;что;что;5
что;что́;form;что;что;5
чего;чего́;form;что;что;5
чему;чему́;form;что;что;5
что;что́;form;что;что;5
чем;чем;form;что;что;5
чём;чём;form;что;что;5
чем;чём;normal;что;что;5
что;что́;form;что;что;5
тот;тот;normal;тот;тот;6
тот;то́т;form;тот;тот;6
то;то́;form;тот;тот;6
та;та́;form;тот;тот;6
те;те́;form;тот;тот;6
того;того́;form;тот;тот;6
того;того́;form;тот;тот;6
той;то́й;form;тот;тот;6
тех;те́х;form;тот;тот;6
тому;тому́;form;тот;тот;6
тому;тому́;form;тот;тот;6
той;то́й;form;тот;тот;6
тем;те́м;form;тот;тот;6
того;того́;form;тот;тот;6
то;то́;form;тот;тот;6
ту;ту́;form;тот;тот;6
тех;те́х;form;тот;тот;6
тот;то́т;form;тот;тот;6
те;те́;form;тот;тот;6
тем;те́м;form;тот;тот;6
тем;те́м;form;тот;тот;6
теми;те́ми;form;тот;тот;6
том;то́м;form;тот;тот;6
том;то́м;form;тот;тот;6
той;то́й;form;тот;тот;6
тех;те́х;form;тот;тот;6
быть;быть;normal;быть;быть;7
есть;есть;form;быть;быть;7
есмь;есмь;form;быть;быть;7
буду;бу́ду;form;быть;быть;7
был;был;form;быть;быть;7
была;была;form;быть;быть;7
есть;есть;form;быть;быть;7
есь;есь;form;быть;быть;7
еси;еси́;form;быть;быть;7
будешь;бу́дешь;form;быть;быть;7
был;был;form;быть;быть;7
была;была;form;быть;быть;7
будь;будь;form;быть;быть;7
буди;бу́ди;form;быть;быть;7
есть;есть;form;быть;быть;7
будет;бу́дет;form;быть;быть;7
был;бы́л;form;быть;быть;7
была;была́;form;быть;быть;7
было;бы́ло;form;быть;быть;7
есть;есть;form;быть;быть;7
есмы;есмы́;form;быть;быть;7
будем;бу́дем;form;быть;быть;7
были;бы́ли;form;быть;быть;7
есть;есть;form;быть;быть;7
есте;есте́;form;быть;быть;7
будете;бу́дете;form;быть;быть;7
были;бы́ли;form;быть;быть;7
будьте;бу́дьте;form;быть;быть;7
есть;есть;form;быть;быть;7
суть;суть;form;быть;быть;7
будут;бу́дут;form;быть;быть;7
были;бы́ли;form;быть;быть;7
сущий;су́щий;form;быть;быть;7
бывший;бы́вший;form;быть;быть;7
будучи;бу́дучи;form;быть;быть;7
быв;быв;form;быть;быть;7
бывши;бы́вши;form;быть;быть;7
с;с;normal;с;с;8
а;а;normal;а;а;9
весь;весь;normal;весь;весь;10
весь;весь;form;весь;весь;10
всё;всё;form;весь;весь;10
все;всё;normal;весь;весь;10
вся;вся́;form;весь;весь;10
все;все́;form;весь;весь;10
всего;всего́;form;весь;весь;10
всего;всего́;form;весь;весь;10
всей;все́й;form;весь;весь;10
всех;все́х;form;весь;весь;10
всему;всему́;form;весь;весь;10
всему;всему́;form;весь;весь;10
всей;все́й;form;весь;весь;10
всем;все́м;form;весь;весь;10
всего;всего́;form;весь;весь;10
всё;всё;form;весь;весь;10
все;всё;normal;весь;весь;10
всю;всю́;form;весь;весь;10
всех;все́х;form;весь;весь;10
весь;весь;form;весь;весь;10
все;все́;form;весь;весь;10
всем;все́м;form;весь;весь;10
всем;все́м;form;весь;весь;10
всеми;все́ми;form;весь;весь;10
всём;всём;form;весь;весь;10
всем;всём;normal;весь;весь;10
всём;всём;form;весь;весь;10
всем;всём;normal;весь;весь;10
всей;все́й;form;весь;весь;10
всех;все́х;form;весь;весь;10
это;э́то;normal;это;э́то;11
как;как;normal;как;как;12
она;она́;normal;она;она́;13
она;она́;form;она;она́;13
её;её;form;она;она́;13
ее;её;normal;она;она́;13
,&#160;;,&#160;;form;она;она́;13
неё;неё;form;она;она́;13
нее;неё;normal;она;она́;13
ея;ея́;form;она;она́;13
,&#160;;,&#160;;form;она;она́;13
нея;нея́;form;она;она́;13
ей;ей;form;она;она́;13
,&#160;;,&#160;;form;она;она́;13
ней;ней;form;она;она́;13
ей;ей;form;она;она́;13
,&#160;;,&#160;;form;она;она́;13
ней;ней;form;она;она́;13
её;её;form;она;она́;13
ее;её;normal;она;она́;13
,&#160;;,&#160;;form;она;она́;13
неё;неё;form;она;она́;13
нее;неё;normal;она;она́;13
ей;ей;form;она;она́;13
,&#160;;,&#160;;form;она;она́;13
ней;ней;form;она;она́;13
ею;е́ю;form;она;она́;13
,&#160;;,&#160;;form;она;она́;13
нею;не́ю;form;она;она́;13
ней;ней;form;она;она́;13
по;по;normal;по;по;14
но;но;normal;но;но;15
