outcomes;outcomes;form;outcome;outcome;1514
farm;farm;normal;farm;farm;1515
вернувший;верну́вший;normal;вернувший;верну́вший;1515
вернувший;верну́вший;form;вернувший;верну́вший;1515
вернувшее;верну́вшее;form;вернувший;верну́вший;1515
вернувшая;верну́вшая;form;вернувший;верну́вший;1515
вернувшие;верну́вшие;form;вернувший;верну́вший;1515
вернувшего;верну́вшего;form;вернувший;верну́вший;1515
вернувшего;верну́вшего;form;вернувший;верну́вший;1515
вернувшей;верну́вшей;form;вернувший;верну́вший;1515
вернувших;верну́вших;form;вернувший;верну́вший;1515
вернувшему;верну́вшему;form;вернувший;верну́вший;1515
вернувшему;верну́вшему;form;вернувший;верну́вший;1515
вернувшей;верну́вшей;form;вернувший;верну́вший;1515
вернувшим;верну́вшим;form;вернувший;верну́вший;1515
вернувшего;верну́вшего;form;вернувший;верну́вший;1515
вернувшее;верну́вшее;form;вернувший;верну́вший;1515
вернувшую;верну́вшую;form;вернувший;верну́вший;1515
вернувших;верну́вших;form;вернувший;верну́вший;1515
вернувший;верну́вший;form;вернувший;верну́вший;1515
вернувшие;верну́вшие;form;вернувший;верну́вший;1515
вернувшим;верну́вшим;form;вернувший;верну́вший;1515
вернувшим;верну́вшим;form;вернувший;верну́вший;1515
вернувшими;верну́вшими;form;вернувший;верну́вший;1515
вернувшем;верну́вшем;form;вернувший;верну́вший;1515
вернувшем;верну́вшем;form;вернувший;верну́вший;1515
вернувшей;верну́вшей;form;вернувший;верну́вший;1515
вернувших;верну́вших;form;вернувший;верну́вший;1515
вернувшею;верну́вшею;form;вернувший;верну́вший;1515
вернуть;верну́ть;normal;вернуть;верну́ть;1515
верну;верну́;form;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
вернёшь;вернёшь;form;вернуть;верну́ть;1515
вернешь;вернёшь;normal;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
верни;верни́;form;вернуть;верну́ть;1515
вернёт;вернёт;form;вернуть;верну́ть;1515
вернет;вернёт;normal;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
вернуло;верну́ло;form;вернуть;верну́ть;1515
вернём;вернём;form;вернуть;верну́ть;1515
вернем;вернём;normal;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
вернёмте;вернёмте;form;вернуть;верну́ть;1515
вернемте;вернёмте;normal;вернуть;верну́ть;1515
вернёте;вернёте;form;вернуть;верну́ть;1515
вернете;вернёте;normal;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
верните;верни́те;form;вернуть;верну́ть;1515
вернут;верну́т;form;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
вернувший;верну́вший;form;вернуть;верну́ть;1515
вернув;верну́в;form;вернуть;верну́ть;1515
вернувши;верну́вши;form;вернуть;верну́ть;1515
верну;верну́;form;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
вернёшь;вернёшь;form;вернуть;верну́ть;1515
вернешь;вернёшь;normal;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
верни;верни́;form;вернуть;верну́ть;1515
вернёт;вернёт;form;вернуть;верну́ть;1515
вернет;вернёт;normal;вернуть;верну́ть;1515
вернул;верну́л;form;вернуть;верну́ть;1515
вернула;верну́ла;form;вернуть;верну́ть;1515
вернуло;верну́ло;form;вернуть;верну́ть;1515
вернём;вернём;form;вернуть;верну́ть;1515
вернем;вернём;normal;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
вернёмте;вернёмте;form;вернуть;верну́ть;1515
вернемте;вернёмте;normal;вернуть;верну́ть;1515
вернёте;вернёте;form;вернуть;верну́ть;1515
вернете;вернёте;normal;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
верните;верни́те;form;вернуть;верну́ть;1515
вернут;верну́т;form;вернуть;верну́ть;1515
вернули;верну́ли;form;вернуть;верну́ть;1515
вернувший;верну́вший;form;вернуть;верну́ть;1515
вернув;верну́в;form;вернуть;верну́ть;1515
вернувши;верну́вши;form;вернуть;верну́ть;1515
вернутый;ве́рнутый;form;вернуть;верну́ть;1515
рано;ра́но;normal;рано;ра́но;1516
literature;literature;normal;literature;literature;1516
attitude;attitude;normal;attitude;attitude;1517
attitude;attitude;form;attitude;attitude;1517
attitudes;attitudes;form;attitude;attitude;1517
строивший;стро́ивший;normal;строивший;стро́ивший;1517
строивший;стро́ивший;form;строивший;стро́ивший;1517
строившее;стро́ившее;form;строивший;стро́ивший;1517
строившая;стро́ившая;form;строивший;стро́ивший;1517
строившие;стро́ившие;form;строивший;стро́ивший;1517
строившего;стро́ившего;form;строивший;стро́ивший;1517
строившего;стро́ившего;form;строивший;стро́ивший;1517
строившей;стро́ившей;form;строивший;стро́ивший;1517
строивших;стро́ивших;form;строивший;стро́ивший;1517
строившему;стро́ившему;form;строивший;стро́ивший;1517
строившему;стро́ившему;form;строивший;стро́ивший;1517
строившей;стро́ившей;form;строивший;стро́ивший;1517
строившим;стро́ившим;form;строивший;стро́ивший;1517
строившего;стро́ившего;form;строивший;стро́ивший;1517
строившее;стро́ившее;form;строивший;стро́ивший;1517
строившую;стро́ившую;form;строивший;стро́ивший;1517
строивших;стро́ивших;form;строивший;стро́ивший;1517
строивший;стро́ивший;form;строивший;стро́ивший;1517
строившие;стро́ившие;form;строивший;стро́ивший;1517
строившим;стро́ившим;form;строивший;стро́ивший;1517
строившим;стро́ившим;form;строивший;стро́ивший;1517
строившими;стро́ившими;form;строивший;стро́ивший;1517
строившем;стро́ившем;form;строивший;стро́ивший;1517
строившем;стро́ившем;form;строивший;стро́ивший;1517
строившей;стро́ившей;form;строивший;стро́ивший;1517
строивших;стро́ивших;form;строивший;стро́ивший;1517
строившею;стро́ившею;form;строивший;стро́ивший;1517
строившее;строи́вшее;form;строивший;стро́ивший;1517
строившая;строи́вшая;form;строивший;стро́ивший;1517
строившие;строи́вшие;form;строивший;стро́ивший;1517
строившего;строи́вшего;form;строивший;стро́ивший;1517
строившей;строи́вшей;form;строивший;стро́ивший;1517
строивших;строи́вших;form;строивший;стро́ивший;1517
строившему;строи́вшему;form;строивший;стро́ивший;1517
строившим;строи́вшим;form;строивший;стро́ивший;1517
строившую;строи́вшую;form;строивший;стро́ивший;1517
строившею;строи́вшею;form;строивший;стро́ивший;1517
строившими;строи́вшими;form;строивший;стро́ивший;1517
строившем;строи́вшем;form;строивший;стро́ивший;1517
строить;строи́ть;normal;строить;строи́ть;1517
строю;стро́ю;form;строить;строи́ть;1517
строил;стро́ил;form;строить;строи́ть;1517
строила;стро́ила;form;строить;строи́ть;1517
строишь;стро́ишь;form;строить;строи́ть;1517
строил;стро́ил;form;строить;строи́ть;1517
строила;стро́ила;form;строить;строи́ть;1517
строй;стро́й;form;строить;строи́ть;1517
строит;стро́ит;form;строить;строи́ть;1517
строил;стро́ил;form;строить;строи́ть;1517
строила;стро́ила;form;строить;строи́ть;1517
строило;стро́ило;form;строить;строи́ть;1517
строим;стро́им;form;строить;строи́ть;1517
строили;стро́или;form;строить;строи́ть;1517
строите;стро́ите;form;строить;строи́ть;1517
строили;стро́или;form;строить;строи́ть;1517
стройте;стро́йте;form;строить;строи́ть;1517
строят;стро́ят;form;строить;строи́ть;1517
строили;стро́или;form;строить;строи́ть;1517
строящий;стро́ящий;form;строить;строи́ть;1517
строивший;стро́ивший;form;строить;строи́ть;1517
