глупостях;глу́постях;form;глупость;глу́пость;2117
fruit;fruit;normal;fruit;fruit;2117
fruit;fruit;form;fruit;fruit;2117
fruits;fruits;form;fruit;fruit;2117
fruit;fruit;form;fruit;fruit;2117
fruits;fruits;form;fruit;fruit;2117
substantial;substantial;normal;substantial;substantial;2118
зимний;зи́мний;normal;зимний;зи́мний;2118
зимний;зи́мний;form;зимний;зи́мний;2118
зимнее;зи́мнее;form;зимний;зи́мний;2118
зимняя;зи́мняя;form;зимний;зи́мний;2118
зимние;зи́мние;form;зимний;зи́мний;2118
зимнего;зи́мнего;form;зимний;зи́мний;2118
зимнего;зи́мнего;form;зимний;зи́мний;2118
зимней;зи́мней;form;зимний;зи́мний;2118
зимних;зи́мних;form;зимний;зи́мний;2118
зимнему;зи́мнему;form;зимний;зи́мний;2118
зимнему;зи́мнему;form;зимний;зи́мний;2118
зимней;зи́мней;form;зимний;зи́мний;2118
зимним;зи́мним;form;зимний;зи́мний;2118
зимнего;зи́мнего;form;зимний;зи́мний;2118
зимнее;зи́мнее;form;зимний;зи́мний;2118
зимнюю;зи́мнюю;form;зимний;зи́мний;2118
зимних;зи́мних;form;зимний;зи́мний;2118
зимний;зи́мний;form;зимний;зи́мний;2118
зимние;зи́мние;form;зимний;зи́мний;2118
зимним;зи́мним;form;зимний;зи́мний;2118
зимним;зи́мним;form;зимний;зи́мний;2118
зимними;зи́мними;form;зимний;зи́мний;2118
зимнем;зи́мнем;form;зимний;зи́мний;2118
зимнем;зи́мнем;form;зимний;зи́мний;2118
зимней;зи́мней;form;зимний;зи́мний;2118
зимних;зи́мних;form;зимний;зи́мний;2118
&#42;;&#42;;form;зимний;зи́мний;2118
зимен;зи́мен;form;зимний;зи́мний;2118
зимне;зи́мне;form;зимний;зи́мний;2118
зимня;зи́мня;form;зимний;зи́мний;2118
зимни;зи́мни;form;зимний;зи́мний;2118
зимнею;зи́мнею;form;зимний;зи́мний;2118
библиотека;библиоте́ка;normal;библиотека;библиоте́ка;2119
библиотека;библиоте́ка;form;библиотека;библиоте́ка;2119
библиотеки;библиоте́ки;form;библиотека;библиоте́ка;2119
библиотеки;библиоте́ки;form;библиотека;библиоте́ка;2119
библиотек;библиоте́к;form;библиотека;библиоте́ка;2119
